Institution Name,Institution Number
University of Arizona,1
Auburn University,2
Brandeis University,3
Brown University,4
"University of California, Berkeley",5
"University of California, Davis",6
"University of California, Irvine",7
Carnegie Mellon University,8
Case Western Reserve University,9
University of Chicago,10
University of Colorado Boulder,11
Columbia University,12
Cornell University,13
Dartmouth College,14
Duke University,15
Emory University,16
Georgetown University,17
Harvard University,18
University of Iowa,19
Johns Hopkins University,20
"University of Maryland, College Park",21
University of Michigan,22
Northwestern University,23
University of Notre Dame,24
Ohio State University[4],25
University of Pennsylvania,26
Princeton University,27
Rice University,28
University of Rochester,29
Stanford University,30
Temple University,31
Tufts University,32
Vanderbilt University,33
University of Virginia,34
University of Washington,35
Washington University in St. Louis,36
Washington State University,37
Yale University,38
American University,39
Azusa Pacific University,40
Ball State University,41
Baylor University,42
Boise State University,43
Bowling Green State University,44
Brigham Young University,45
College of William and Mary,46
Rowan University,47
San Diego State University,48
Seton Hall University,49
South Dakota State University,50
Southern Methodist University,51
Stevens Institute of Technology,52
Tennessee State University,53
University of Denver,54
Wake Forest University,55
Worcester Polytechnic Institute,56
Amherst,57
Bowdoin,58
Austin College,59
Drew,60
Washington & Lee,61
nebraska wesleyan,62
